filename,start,end
testbed_choking_hand_1.mp4,1,13
testbed_choking_hand_10.mp4,1,14
testbed_choking_hand_11.mp4,1,14
testbed_choking_hand_12.mp4,0,14
testbed_choking_hand_13.mp4,0,14
testbed_choking_hand_14.mp4,0,14
testbed_choking_hand_15.mp4,0,14
testbed_choking_hand_16.mp4,1,14
testbed_choking_hand_17.mp4,0,14
testbed_choking_hand_18.mp4,0,14
testbed_choking_hand_19.mp4,0,13
testbed_choking_hand_2.mp4,0,14
testbed_choking_hand_20.mp4,1,14
testbed_choking_hand_21.mp4,0,14
testbed_choking_hand_22.mp4,0,13
testbed_choking_hand_23.mp4,0,13
testbed_choking_hand_24.mp4,4,14
testbed_choking_hand_25.mp4,0,13
testbed_choking_hand_26.mp4,0,14
testbed_choking_hand_27.mp4,0,14
testbed_choking_hand_28.mp4,0,14
testbed_choking_hand_29.mp4,1,4
testbed_choking_hand_29.mp4,8,14
testbed_choking_hand_3.mp4,0,13
testbed_choking_hand_30.mp4,0,14
testbed_choking_hand_31.mp4,3,14
testbed_choking_hand_32.mp4,0,14
testbed_choking_hand_33.mp4,0,14
testbed_choking_hand_34.mp4,0,14
testbed_choking_hand_35.mp4,0,14
testbed_choking_hand_36.mp4,0,14
testbed_choking_hand_37.mp4,0,14
testbed_choking_hand_38.mp4,0,14
testbed_choking_hand_39.mp4,0,14
testbed_choking_hand_4.mp4,1,10
testbed_choking_hand_4.mp4,12,14
testbed_choking_hand_40.mp4,0,14
testbed_choking_hand_41.mp4,0,14
testbed_choking_hand_42.mp4,0,14
testbed_choking_hand_43.mp4,0,14
testbed_choking_hand_44.mp4,0,14
testbed_choking_hand_45.mp4,0,14
testbed_choking_hand_46.mp4,0,14
testbed_choking_hand_47.mp4,0,8
testbed_choking_hand_47.mp4,10,14
testbed_choking_hand_48.mp4,0,14
testbed_choking_hand_49.mp4,0,14
testbed_choking_hand_5.mp4,0,10
testbed_choking_hand_5.mp4,12,14
testbed_choking_hand_50.mp4,4,8
testbed_choking_hand_50.mp4,10,13
testbed_choking_hand_51.mp4,0,14
testbed_choking_hand_52.mp4,0,14
testbed_choking_hand_53.mp4,0,3
testbed_choking_hand_53.mp4,5,14
testbed_choking_hand_54.mp4,0,14
testbed_choking_hand_55.mp4,0,14
testbed_choking_hand_56.mp4,0,14
testbed_choking_hand_57.mp4,0,10
testbed_choking_hand_57.mp4,12,14
testbed_choking_hand_58.mp4,0,14
testbed_choking_hand_59.mp4,0,14
testbed_choking_hand_6.mp4,0,14
testbed_choking_hand_60.mp4,0,14
testbed_choking_hand_61.mp4,0,14
testbed_choking_hand_62.mp4,0,14
testbed_choking_hand_63.mp4,0,14
testbed_choking_hand_64.mp4,0,14
testbed_choking_hand_65.mp4,0,14
testbed_choking_hand_66.mp4,0,14
testbed_choking_hand_67.mp4,0,14
testbed_choking_hand_68.mp4,0,14
testbed_choking_hand_69.mp4,0,14
testbed_choking_hand_7.mp4,0,14
testbed_choking_hand_70.mp4,0,14
testbed_choking_hand_8.mp4,0,14
testbed_choking_hand_9.mp4,0,13
